RahulGandhi,narendramodi
1,0
2,0
3,0
4,1
4,1
5,2
6,3
6,4
7,5
8,5
8,6
9,7
10,8
11,8
11,8
12,8
13,8
13,9
14,9
15,9
16,10
17,11
18,11
19,11
20,12
21,13
21,14
21,15
21,15
22,16
23,17
24,18
24,19
24,19
24,19
25,19
25,19
25,20
26,21
26,22
26,23
27,24
27,25
27,26
27,27
27,28
28,29
28,29
28,30
28,31
29,31
29,31
29,32
30,32
31,32
31,33
31,33
32,34
33,35
34,36
34,37
35,38
35,39
35,40
36,41
36,41
36,42
36,43
37,44
38,45
39,45
40,45
41,46
42,47
42,48
43,49
44,50
45,51
45,51
45,52
45,53
46,53
46,54
46,55
46,56
47,57
48,58
49,59
49,59
49,60
49,61
50,62
50,63
50,64
51,64
52,64
52,65
52,65
52,66
52,67
